code	name	total	0-9	9-19	19-29	29-39	39-49	49-59	59-69	69-79	80+
150200	Cachoeira do Arari	24064	4269	4184	4443	4001	2822	2133	1218	639	355
150195	Cachoeira do Piriá	34609	7936	7596	6578	5311	3493	2157	982	423	133
150210	Cametá	139364	27551	26781	26475	22138	15167	9534	6473	3549	1696
150215	Canaã dos Carajás	38103	7323	7609	7637	6853	4610	2333	1097	487	154
150220	Capanema	69431	9949	11591	11978	11713	9456	6835	4503	2245	1161
150230	Capitão Poço	54425	9214	9557	10246	8753	6748	4825	2845	1519	718
150240	Castanhal	203251	30183	36976	37318	35182	26963	17975	11073	5299	2282
150250	Chaves	23948	5515	5021	4224	3292	2504	1652	999	518	223
150260	Colares	12131	2171	2072	1971	1819	1386	1190	776	500	246
150270	Conceição do Araguaia	47991	7223	7888	8198	7027	6479	5008	3374	1958	836
150275	Concórdia do Pará	33781	6696	6868	6540	5304	3548	2323	1362	795	345
150276	Cumaru do Norte	13761	2337	2507	2509	2243	1991	1332	605	202	35
150277	Curionópolis	17846	2955	3071	3200	2495	2010	1684	1381	727	323
150280	Curralinho	34994	8821	7838	6451	4847	3217	1841	1089	609	281
150285	Curuá	14587	3296	2922	2682	2190	1499	989	601	283	125
150290	Curuçá	40584	6855	6956	6898	6301	5043	3832	2493	1453	753
150293	Dom Eliseu	60469	10369	11850	11489	10358	7305	4839	2641	1203	415
150295	Eldorado do Carajás	33940	6352	6352	6086	5076	3990	3061	1766	974	283
150300	Faro	7070	1489	1422	1243	891	750	571	412	196	96
150304	Floresta do Araguaia	20525	3569	3592	3885	3158	2769	1768	1039	546	199
150307	Garrafão do Norte	26111	4974	4863	5097	3934	2907	2038	1228	774	296
150309	Goianésia do Pará	41081	7342	7637	8035	6933	5177	3065	1843	773	276
150310	Gurupá	33755	7736	7386	6354	4716	3260	2078	1223	718	284
150320	Igarapé-Açu	39023	5963	6590	7134	6497	4825	3682	2417	1301	614
150330	Igarapé-Miri	63036	12099	11996	11317	10041	7295	4627	3190	1657	814
150340	Inhangapi	11861	1979	2083	2132	1987	1430	1097	654	347	152
150345	Ipixuna do Pará	65625	12264	13385	13927	11608	7456	3897	1911	925	252
150350	Irituia	32595	6028	5817	5551	4880	3877	2807	1901	1200	534
150360	Itaituba	101395	16093	18496	19860	15808	12016	9366	5946	2778	1032
150370	Itupiranga	53355	10422	10187	9735	8038	6239	4283	2617	1364	470
150375	Jacareacanga	7590	1447	1807	1339	1084	802	666	278	133	34
150380	Jacundá	59842	10056	11579	11312	10669	7252	4552	2571	1295	556
150390	Juruti	58960	13739	11638	11245	9460	5912	3299	2112	1059	496
150400	Limoeiro do Ajuru	29282	6065	5987	5796	4325	3093	1949	1179	602	286
150405	Mãe do Rio	30235	5256	5676	5278	4772	3735	2534	1657	909	418
150410	Magalhães Barata	8573	1519	1496	1454	1314	958	790	553	329	160
150420	Marabá	283542	49444	56025	53118	49153	34123	21655	12505	5346	2173
150430	Maracanã	29516	5098	4900	5439	4210	3487	2794	1907	1133	548
150440	Marapanim	28450	4520	4428	5160	4233	3652	2779	1939	1149	590
150442	Marituba	133685	19896	24227	26086	23969	19314	10914	5847	2503	929
150445	Medicilândia	31975	5280	5911	5852	5402	4146	2766	1623	741	254
150450	Melgaço	27890	7232	6476	5682	3724	2383	1315	652	297	129
150460	Mocajuba	31530	6146	6262	5819	4856	3383	2234	1470	897	463
150470	Moju	83182	17133	16743	15781	12918	9331	5656	3287	1665	668
150475	Mojuí dos Campos	16184	2526	2530	2793	2488	2225	1724	1024	613	261
150480	Monte Alegre	58162	9833	9756	10658	8422	7423	5388	3737	1994	951
150490	Muaná	40906	8188	8395	7719	6515	4545	2809	1580	795	360
